"ROWNUM","Name","StationCapacity","BikeParkingSlotsAmount","Longitude_WGS84","Latitude_WGS84","AdmArea","District","Location","ClarificationOfLocation","DepartamentalAffiliation","OperOrgName","OperOrgWebsite","GLOBALID"
"1","Пункт проката велосипедов № 1","16","16","37.6007","55.7454","Центральный административный округ","район Хамовники","Гоголевский бульвар, дом 1, строение 4","Выход станции метро «Кропоткинская»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772015"
"2","Пункт проката велосипедов № 2","16","16","37.5996","55.7469","Центральный административный округ","район Хамовники","Гоголевский бульвар, дом 17, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772016"
"3","Пункт проката велосипедов № 3","16","16","37.6006","55.7509","Центральный административный округ","район Арбат","Гоголевский бульвар, дом 33",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772017"
"4","Пункт проката велосипедов № 7","8","8","37.6","55.7554","Центральный административный округ","Пресненский район","Никитский бульвар, дом 11/12, строение 3",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772018"
"5","Пункт проката велосипедов № 8","8","8","37.5985","55.7573","Центральный административный округ","Пресненский район","Большая Никитская улица, дом 23/14/9",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772019"
"6","Пункт проката велосипедов № 9","16","16","37.5983","55.7578","Центральный административный округ","Пресненский район","Тверской бульвар, дом 2/1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772020"
"7","Пункт проката велосипедов № 10","16","16","37.6022","55.7616","Центральный административный округ","Пресненский район","Тверской бульвар, дом 17, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772021"
"8","Пункт проката велосипедов № 11","16","16","37.6051","55.7646","Центральный административный округ","Тверской район","Тверской бульвар, дом 28",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772022"
"9","Пункт проката велосипедов № 12","8","8","37.6051","55.7652","Центральный административный округ","Тверской район","Пушкинская площадь, дом 5","Выход станции метро «Пушкинская»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772023"
"10","Пункт проката велосипедов № 13","8","8","37.6095","55.7667","Центральный административный округ","Тверской район","Страстной бульвар, дом 8А",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772024"
