"ROWNUM","Name","PortionName","Type","Width","BeginCoords","EndCoords","Location","DepartamentalAffiliation","OperOrgName","ObjectOperOrgPhone","Track","GLOBALID"
"1","Велосипедная дорожка «Парк «Музеон» - Парк «Победы»","Участок «Парк «Музеон» - улица Улофа Пальме»","велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","3","37.509731,55.7197","37.600235,55.733482","Парк «Музеон» - Пушкинская набережная - Андреевская набережная - Воробьёвская набережная - Воробьёвское шоссе - Мосфильмовская улица - улица Улофа Пальме","Префектура Центрального административного округа города Москвы","Префектура Центрального административного округа города Москвы","(495) 777-28-00","37.509731,55.7197; 37.509731,55.7197; 37.509727,55.7197; 37.509815,55.719616; 37.509857,55.71954; 37.509876,55.719467; 37.509876,55.719376; 37.50983,55.719269; 37.509785,55.719189; 37.510002,55.719086; 37.510284,55.71900599999999; 37.510891,55.719349; 37.512402,55.718472; 37.516697,55.716713; 37.517258,55.7164; 37.525127,55.720886; 37.525791,55.721279; 37.527962,55.722481; 37.53368,55.72571200000001; 37.533371,55.72591; 37.533615,55.72604; 37.533737,55.726063; 37.535599,55.72686; 37.535999,55.72662; 37.536232,55.726772; 37.536499,55.726894; 37.536861,55.727051; 37.537197,55.7272; 37.538013,55.727516; 37.538891,55.72776400000001; 37.539787,55.72794; 37.541142,55.7281; 37.541306,55.72802; 37.541851,55.727772; 37.542236,55.727604; 37.542343,55.727482; 37.54237,55.727413; 37.542358,55.727352; 37.542294,55.727226; 37.541641,55.726334; 37.541138,55.725689; 37.54063,55.725037; 37.540329,55.724579; 37.540092,55.72411; 37.539989,55.723869; 37.539619,55.722927; 37.539291,55.721367; 37.539253,55.72067299999999; 37.53923,55.719841; 37.539307,55.71906700000001; 37.539497,55.71830000000001; 37.539688,55.717636; 37.540089,55.716702; 37.540447,55.715851; 37.540703,55.71543500000001; 37.540829,55.715233; 37.540989,55.715019; 37.541885,55.714203; 37.542934,55.713467; 37.543724,55.712978; 37.544529,55.71251699999999; 37.546501,55.711533; 37.547306,55.711147; 37.548222,55.710777; 37.54958,55.710289; 37.550468,55.71009099999999; 37.553074,55.709782; 37.558281,55.709469; 37.563072,55.709583; 37.565315,55.70988799999999; 37.567448,55.710293; 37.57251,55.71149800000001; 37.575661,55.71239900000001; 37.579369,55.71403100000001; 37.580879,55.714828; 37.581951,55.71522900000001; 37.584179,55.716881; 37.586311,55.718571; 37.587059,55.71891000000001; 37.587254,55.71921200000001; 37.587318,55.719456; 37.588879,55.720642; 37.589718,55.721245; 37.590313,55.721855; 37.591843,55.722923; 37.592262,55.723152; 37.5928,55.723644; 37.5933,55.724159; 37.596298,55.727852; 37.596954,55.72917900000001; 37.597698,55.730492; 37.597946,55.730946; 37.597961,55.73114799999999; 37.599041,55.732353; 37.599384,55.732708; 37.599728,55.732758; 37.599766,55.732986; 37.600235,55.733482","89098810"
"2","Велосипедная дорожка «Парк «Музеон» - Парк «Победы»","Участок «Фрунзенская набережная - улица Лужники»","велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","3","37.597179,55.733921","37.545685,55.725941","Фрунзенская набережная - Лужнецкая набережная - улица Лужники","Префектура Центрального административного округа города Москвы","Префектура Центрального административного округа города Москвы","(495) 777-28-00","37.597179,55.733921; 37.595341,55.732052; 37.593391,55.729511; 37.591591,55.726929; 37.590889,55.72612; 37.590061,55.725368; 37.585602,55.721081; 37.583672,55.719379; 37.58239,55.718361; 37.58102,55.7174; 37.578861,55.716068; 37.576801,55.714851; 37.575459,55.71423; 37.574131,55.71371800000001; 37.572769,55.713261; 37.571369,55.71284099999999; 37.570332,55.712582; 37.56937,55.71237200000001; 37.565189,55.714729; 37.549171,55.72403299999999; 37.549015,55.724171; 37.547363,55.725941; 37.545685,55.725941","89098811"
"3","Велосипедная дорожка «Парк «Музеон» - Парк «Победы»","Участок «Минская улица - Парк «Победы»","велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","3","37.500931,55.720268","37.495914,55.727482","Минская улица - Парк «Победы»","Префектура Центрального административного округа города Москвы","Префектура Центрального административного округа города Москвы","(495) 777-28-00","37.500931,55.720268; 37.500431,55.72103900000001; 37.499088,55.72253; 37.498951,55.72261799999999; 37.49826,55.723461; 37.494911,55.727161; 37.49511,55.72718; 37.495914,55.727482","89098812"
"4","Велосипедная дорожка в Природном заказнике «Долина реки Сетунь»",,"велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.500988,55.720242","37.501408,55.720280","Природный заказник «Долина реки Сетунь» между Минской улицей и улицей Улофа Пальме","Департамент природопользования и охраны окружающей среды города Москвы","ГПБУ «Управление ООПТ по ЗАО»","(499) 726-15-85","37.500988,55.720242; 37.501186,55.720253; 37.501408,55.720280; 37.501640,55.720284; 37.501869,55.720299; 37.502254,55.720375; 37.502560,55.720455; 37.502899,55.720509; 37.503086,55.720535; 37.503399,55.720661; 37.503639,55.720715; 37.504074,55.720772; 37.504501,55.720783; 37.505054,55.720898; 37.505276,55.720860; 37.505573,55.720558; 37.506069,55.720505; 37.507027,55.720375; 37.507290,55.720222; 37.507671,55.720131; 37.507923,55.720039; 37.508202,55.719936; 37.508347,55.719807; 37.508446,55.719692; 37.508499,55.719570; 37.508598,55.719315; 37.508595,55.719223; 37.508568,55.719055; 37.508465,55.718876; 37.508190,55.718678; 37.507946,55.718468; 37.507484,55.718227; 37.506721,55.717896; 37.506168,55.717716; 37.505924,55.717686; 37.505531,55.717770; 37.504951,55.717987; 37.504539,55.718224; 37.504368,55.718292; 37.504261,55.718338; 37.504040,55.718426; 37.503864,55.718472; 37.503616,55.718533; 37.503628,55.718529; 37.503170,55.718708; 37.502647,55.718971; 37.502148,55.719273; 37.501831,55.719536; 37.501476,55.719818; 37.501392,55.719879; 37.501282,55.719955; 37.501263,55.720112; 37.501396,55.720284; 37.501408,55.720280","89098813"
"5","Велосипедная дорожка «Беляево - Чертаново»",,"велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","3","37.526913,55.64263900000001","37.604752,55.64080400000001","улица Миклухо-Маклая - Битцевский лес - микрорайон Северное Чертаново","Департамент природопользования и охраны окружающей среды города Москвы","ГПБУ «Управление ООПТ по ЮЗАО и ЦАО»","(499) 739-27-08","37.526913,55.64263900000001; 37.537964,55.639679; 37.53837731460118,55.63984116964689; 37.5386293559548,55.63976471062944; 37.53868376046149,55.63949943349052; 37.54361,55.638195; 37.54422,55.63830899999999; 37.54483,55.638138; 37.545582,55.637691; 37.546654,55.63736; 37.54847,55.636833; 37.549648,55.636574; 37.553242,55.635616; 37.554722,55.635265; 37.555882,55.634876; 37.557018,55.634342; 37.557919,55.63392999999999; 37.5588,55.633568; 37.559139,55.633446; 37.560234,55.633228; 37.561138,55.633156; 37.564163,55.632381; 37.565086,55.632175; 37.565773,55.632114; 37.56646,55.632198; 37.566975,55.632271; 37.568668,55.632454; 37.569828,55.632465; 37.572166,55.632431; 37.574783,55.632393; 37.5756,55.632404; 37.576092,55.63252599999999; 37.57708,55.63274400000001; 37.579201,55.63247699999999; 37.581562,55.63192; 37.583794,55.63145800000001; 37.584633,55.631424; 37.585018,55.631775; 37.586372,55.632008; 37.586735,55.63269399999999; 37.587788,55.63279300000001; 37.587978,55.633411; 37.589783,55.63829; 37.590275,55.639019; 37.590813,55.639454; 37.591221,55.639732; 37.592358,55.640156; 37.593086,55.640373; 37.593601,55.640556; 37.594204,55.640617; 37.594772,55.640682; 37.595577,55.640648; 37.596985,55.64056; 37.598282,55.640461; 37.598808,55.640373; 37.599182,55.640308; 37.601597,55.639599; 37.601917,55.639454; 37.60207,55.63931699999999; 37.6022,55.63910300000001; 37.602509,55.638382; 37.604557,55.63932000000001; 37.60471,55.639404; 37.604538,55.639549; 37.604805,55.640236; 37.604717,55.640816; 37.604717,55.640816; 37.604717,55.640816; 37.60474,55.64080400000001; 37.60474,55.64080400000001; 37.60474,55.64080400000001; 37.604729,55.640774; 37.604752,55.64080400000001","89098814"
"6","Велосипедная дорожка «Марьино - Капотня»",,"велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","3","37.744205,55.647156","37.795784,55.642021","Люблинская улица - Парк 850-летия Москвы - Проектируемый проезд № 5467","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы; Префектура Восточного административного округа города Москвы","ГБУ города Москвы «Дирекция Парка 850-летия Москвы», Префектура Юго-Восточного административного округа","(495) 657-45-12; (495) 777-28-03","37.744205,55.647156; 37.744167,55.64725899999999; 37.74398,55.64724; 37.744034,55.647133; 37.744194,55.64715999999999; 37.744202,55.647156; 37.74419,55.64711; 37.74448,55.646214; 37.745277,55.644173; 37.745182,55.643784; 37.745232,55.64364599999999; 37.744789,55.643616; 37.744854,55.64336400000001; 37.744957,55.643063; 37.745434,55.642612; 37.745762,55.642349; 37.745838,55.642204; 37.745956,55.641842; 37.745995,55.641758; 37.746136,55.641731; 37.746353,55.641735; 37.746544,55.64169299999999; 37.746658,55.641602; 37.746803,55.641212; 37.74699,55.64122400000001; 37.747715,55.64135; 37.747681,55.641407; 37.747673,55.641403; 37.747513,55.64182300000001; 37.747562,55.641941; 37.747646,55.642059; 37.747715,55.642155; 37.747807,55.64219700000001; 37.747967,55.642262; 37.748154,55.642319; 37.748287,55.642338; 37.748493,55.642349; 37.74884,55.642357; 37.749142,55.64235300000001; 37.74966,55.642349; 37.749931,55.642368; 37.750172,55.64247099999999; 37.75042,55.64253200000001; 37.750671,55.64253200000001; 37.750847,55.64249; 37.751133,55.642448; 37.751404,55.642448; 37.751652,55.642498; 37.752327,55.642651; 37.752651,55.642757; 37.752731,55.642799; 37.752972,55.64289099999999; 37.753239,55.642982; 37.753578,55.643101; 37.753761,55.64321499999999; 37.75386,55.643356; 37.753918,55.643478; 37.75412,55.643513; 37.75425,55.643574; 37.754463,55.64365800000001; 37.754662,55.643692; 37.754883,55.643715; 37.755333,55.643703; 37.755524,55.643688; 37.755802,55.643692; 37.756008,55.64373; 37.75631,55.64391300000001; 37.756668,55.644131; 37.756893,55.644352; 37.75716,55.644634; 37.757458,55.644802; 37.757816,55.64489399999999; 37.75861,55.645054; 37.759216,55.645142; 37.75948,55.64522899999999; 37.760014,55.6455; 37.760788,55.646049; 37.760944,55.64608; 37.7612,55.64612999999999; 37.761501,55.646168; 37.761723,55.646175; 37.762543,55.64619100000001; 37.762718,55.646194; 37.762756,55.64624000000001; 37.762714,55.646282; 37.762581,55.646332; 37.76247,55.646282; 37.762493,55.646225; 37.762665,55.64617899999999; 37.762932,55.646225; 37.763123,55.646381; 37.763191,55.646591; 37.763336,55.646667; 37.763718,55.646755; 37.764,55.646816; 37.764645,55.64695399999999; 37.764893,55.647038; 37.765148,55.647251; 37.765434,55.647564; 37.765663,55.64764400000001; 37.766178,55.647728; 37.766388,55.647804; 37.766743,55.64796800000001; 37.766899,55.648029; 37.767078,55.648052; 37.767429,55.648087; 37.768101,55.64812500000001; 37.768444,55.64812500000001; 37.768806,55.648102; 37.769238,55.648132; 37.770298,55.648186; 37.770782,55.64819; 37.770985,55.648228; 37.771866,55.648579; 37.772648,55.648865; 37.773239,55.649136; 37.773464,55.649261; 37.773708,55.64931099999999; 37.773979,55.64933400000001; 37.7756,55.649292; 37.775974,55.64931099999999; 37.7771,55.64954; 37.777767,55.64969299999999; 37.778419,55.64998200000001; 37.778797,55.650154; 37.779076,55.650211; 37.779556,55.650249; 37.780148,55.65036400000001; 37.78091,55.650444; 37.781254,55.65050899999999; 37.781609,55.650639; 37.782112,55.65072299999999; 37.782681,55.650818; 37.783108,55.650879; 37.783474,55.650879; 37.783958,55.650818; 37.784256,55.650799; 37.784824,55.65078700000001; 37.785255,55.650879; 37.785839,55.65100100000001; 37.786198,55.651073; 37.786568,55.651115; 37.786812,55.65115; 37.787392,55.651291; 37.787956,55.651272; 37.788258,55.651466; 37.788754,55.65198500000001; 37.788967,55.652283; 37.789181,55.65245400000001; 37.789642,55.652599; 37.789986,55.65263; 37.79018,55.65261100000001; 37.790279,55.65251500000001; 37.79023,55.652431; 37.790127,55.65229800000001; 37.789917,55.652142; 37.789715,55.651978; 37.789494,55.651779; 37.789333,55.65154999999999; 37.78915,55.651299; 37.789062,55.651024; 37.788673,55.65078700000001; 37.788624,55.65059700000001; 37.788715,55.650345; 37.78886,55.65015; 37.788918,55.649956; 37.788845,55.649517; 37.78886,55.64937200000001; 37.788818,55.649158; 37.78878,55.648872; 37.788715,55.64846799999999; 37.788654,55.647926; 37.788609,55.647675; 37.788612,55.646538; 37.788544,55.64590500000001; 37.788437,55.645302; 37.788349,55.644756; 37.788311,55.644386; 37.788269,55.643978; 37.788185,55.64344400000001; 37.788109,55.643181; 37.788029,55.642864; 37.788006,55.64269599999999; 37.788059,55.642593; 37.788132,55.64250899999999; 37.788231,55.642426; 37.788357,55.64239899999999; 37.78878,55.642368; 37.789928,55.642338; 37.790989,55.642307; 37.792637,55.64225399999999; 37.793678,55.642223; 37.793842,55.642181; 37.794094,55.642162; 37.794224,55.64217; 37.794498,55.642143; 37.794838,55.642113; 37.795898,55.642006; 37.795967,55.641983; 37.795967,55.641945; 37.795944,55.641918; 37.795895,55.64193; 37.795872,55.641972; 37.795818,55.64201; 37.795765,55.642014; 37.795765,55.642014; 37.795765,55.642014; 37.795773,55.64201; 37.795765,55.642014; 37.795773,55.64201; 37.795765,55.642014; 37.795765,55.64201; 37.795765,55.64201; 37.795765,55.64201; 37.795765,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795773,55.64201; 37.795784,55.642017; 37.795784,55.642017; 37.795784,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.79578,55.642017; 37.795784,55.642021","89098815"
"7","Велосипедная дорожка «Лужнецкая набережная»",,"велосипедная дорожка совмещенная с пешеходными, двухстороннего движения","2","37.569046,55.712261","37.545410,55.726131","Лужнецкая набережная","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «ДЖКХиБ ЦАО»","(495) 609-12-24","37.569046,55.712261; 37.566414,55.711697; 37.564075,55.711349; 37.560848,55.711124; 37.559475,55.711109; 37.556953,55.711266; 37.555614,55.711441; 37.554413,55.711636; 37.552975,55.711987; 37.551365,55.712479; 37.550076,55.713005; 37.550014,55.713177; 37.548973,55.713688; 37.548637,55.713707; 37.547157,55.714619; 37.546955,55.714752; 37.545742,55.715607; 37.544701,55.716476; 37.543854,55.717304; 37.543865,55.717316; 37.542900,55.718754; 37.542557,55.719791; 37.542427,55.720428; 37.542374,55.720863; 37.542351,55.721382; 37.542587,55.722565; 37.542866,55.723316; 37.543575,55.724567; 37.544231,55.725353; 37.545174,55.726109; 37.545410,55.726131","89098816"
"8","Велосипедная дорожка между Шипиловским проездом и Каширским шоссе","Участок вдоль Шипиловского проезда","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.695915,55.634731","37.693062,55.629726","Шипиловский проезд - Каширское шоссе","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «Мосзеленхоз»","(495) 621-88-68","37.695915,55.634731; 37.695702,55.634209; 37.694412,55.632259; 37.693512,55.630890; 37.693062,55.629726","89098817"
"9","Велосипедная дорожка между Шипиловским проездом и Каширским шоссе","Участок «Шипиловский проезд - Каширское шоссе»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.694241,55.631962","37.700806,55.633392","Шипиловский проезд - Каширское шоссе","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «Мосзеленхоз»","(495) 621-88-68","37.694241,55.631962; 37.694820,55.631920; 37.694901,55.631989; 37.694950,55.632114; 37.695122,55.632195; 37.695232,55.632202; 37.695705,55.632057; 37.695862,55.632042; 37.696045,55.632057; 37.696232,55.632057; 37.696281,55.632015; 37.696548,55.631824; 37.696964,55.631828; 37.697395,55.631989; 37.697617,55.632069; 37.699387,55.632248; 37.700073,55.632359; 37.700348,55.632565; 37.700401,55.632713; 37.700356,55.633167; 37.700390,55.633385; 37.700603,55.633446; 37.700806,55.633392","89098818"
"10","Велосипедная дорожка между Шипиловским проездом и Каширским шоссе","Участок «Каширское шоссе, дом 78, строение 7 - Каширское шоссе, дом 78, строение 6»","велосипедная дорожка совмещенная с пешеходными, одностороннего движения","1.5","37.700314,55.632545","37.698036,55.632114","Шипиловский проезд - Каширское шоссе","Департамент жилищно-коммунального хозяйства и благоустройства города Москвы","ГКУ «Мосзеленхоз»","(495) 621-88-68","37.700314,55.632545; 37.698490,55.632538; 37.698219,55.632530; 37.698082,55.632446; 37.698048,55.632343; 37.698036,55.632114","89098819"
